value_plan,date_plan
.0005000000237487,2022m1
.2472000059206039,2022m2
.0010000000474975,2022m3
.5199999995529652,2022m4
1.072779992013238,2022m5
.9469000146491453,2022m6
.5263000022387132,2022m7
.0603999997256324,2022m8
.3506100010126829,2022m9
.5404999915044755,2022m10
.0850900010555051,2022m11
.0874200016260147,2022m12
.680859983782284,2023m1
8.948000008240342,2023m2
.0150000003632158,2023m3
.4358800202608109,2023m4
4.657999936491251,2023m5
.274579984950833,2023m6
1,2023m7
3.003160081803799,2023m8
1.081000000122003,2023m9
2.012250000145286,2023m10
2.934999986086041,2023m11
73.66127047903137,2023m12
11.43563003977761,2024m1
13.23461983178277,2024m2
9.906540181487799,2024m3
37.77866944554262,2024m4
32.46193009335548,2024m5
15.3226700372179,2024m6
23.72753998573171,2024m7
51.4240102514741,2024m8
14.99013002571883,2024m9
20.25292991986498,2024m10
33.55032031424344,2024m11
25.2192797450698,2024m12
47.58887975371908,2025m1
429.7289298182004,2025m2
32.04730988456868,2025m3
161.0334601955838,2025m4
34.36892984830774,2025m5
48.32224003772717,2025m6
110.809620491229,2025m7
47.53509016474709,2025m8
64.86022015463095,2025m9
58.86485002236441,2025m10
0,
