planning_stock_value,date
18.10824008309282,2022m1
18.06405009422451,2022m2
17.99370009667473,2022m3
17.60970008495497,2022m4
17.36528008477762,2022m5
17.54778009030269,2022m6
18.0373101006262,2022m7
16.82343012676574,2022m8
16.56040012114681,2022m9
15.89951010909863,2022m10
15.80436010658741,2022m11
15.666860108322,2022m12
15.68592011544388,2023m1
23.38442011649022,2023m2
21.87732012110064,2023m3
21.88328012445709,2023m4
25.56118012737716,2023m5
24.08286012330791,2023m6
24.05201012396719,2023m7
24.7777701424784,2023m8
25.54719015542651,2023m9
26.22955013287719,2023m10
26.95955012633931,2023m11
94.04056028911145,2023m12
105.3464103773003,2024m1
115.5282003254979,2024m2
127.6496202907292,2024m3
212.3932603418361,2024m4
237.5738305215491,2024m5
243.2122003745171,2024m6
183.7949903088738,2024m7
225.9472202650504,2024m8
239.1181205661851,2024m9
244.7573604997597,2024m10
268.824750923377,2024m11
321.2380808302551,2024m12
354.543200486165,2025m1
773.1648903292371,2025m2
797.3174902633182,2025m3
854.1689699898707,2025m4
873.8775894084247,2025m5
930.6329592542024,2025m6
1036.600409893785,2025m7
1278.932149903383,2025m8
1223.563930209959,2025m9
1249.197160829674,2025m10
1326.291030563065,2025m11
